Epoch [57/100], Train Loss: 0.4670, Train Acc: 0.8372, Test Loss: 0.2935, Test Acc: 0.9021
Epoch [58/100], Train Loss: 0.4629, Train Acc: 0.8381, Test Loss: 0.3528, Test Acc: 0.8838
Epoch [59/100], Train Loss: 0.4581, Train Acc: 0.8423, Test Loss: 0.3313, Test Acc: 0.8914
Epoch [60/100], Train Loss: 0.4606, Train Acc: 0.8396, Test Loss: 0.3410, Test Acc: 0.8923
Epoch [61/100], Train Loss: 0.4579, Train Acc: 0.8407, Test Loss: 0.2921, Test Acc: 0.9018
Epoch [62/100], Train Loss: 0.4564, Train Acc: 0.8419, Test Loss: 0.3274, Test Acc: 0.8895
Epoch [63/100], Train Loss: 0.4600, Train Acc: 0.8408, Test Loss: 0.2898, Test Acc: 0.9008
Epoch [64/100], Train Loss: 0.4491, Train Acc: 0.8426, Test Loss: 0.3411, Test Acc: 0.8885
Epoch [65/100], Train Loss: 0.4396, Train Acc: 0.8471, Test Loss: 0.3054, Test Acc: 0.9001
Epoch [66/100], Train Loss: 0.4452, Train Acc: 0.8464, Test Loss: 0.3426, Test Acc: 0.8896
Epoch [67/100], Train Loss: 0.4443, Train Acc: 0.8453, Test Loss: 0.2876, Test Acc: 0.9008
Epoch [68/100], Train Loss: 0.4496, Train Acc: 0.8446, Test Loss: 0.3324, Test Acc: 0.8941
Epoch [69/100], Train Loss: 0.4470, Train Acc: 0.8453, Test Loss: 0.2744, Test Acc: 0.9086
Epoch [70/100], Train Loss: 0.4416, Train Acc: 0.8466, Test Loss: 0.3161, Test Acc: 0.9025
Epoch [71/100], Train Loss: 0.4457, Train Acc: 0.8455, Test Loss: 0.2937, Test Acc: 0.9036
Epoch [72/100], Train Loss: 0.4390, Train Acc: 0.8467, Test Loss: 0.3102, Test Acc: 0.8971
Epoch [73/100], Train Loss: 0.4388, Train Acc: 0.8469, Test Loss: 0.3008, Test Acc: 0.9050
Epoch [74/100], Train Loss: 0.4395, Train Acc: 0.8477, Test Loss: 0.3264, Test Acc: 0.8926
Epoch [75/100], Train Loss: 0.4367, Train Acc: 0.8477, Test Loss: 0.3217, Test Acc: 0.8979
Epoch [76/100], Train Loss: 0.4391, Train Acc: 0.8457, Test Loss: 0.2788, Test Acc: 0.9057
Epoch [77/100], Train Loss: 0.4413, Train Acc: 0.8472, Test Loss: 0.2902, Test Acc: 0.9048
Epoch [78/100], Train Loss: 0.4375, Train Acc: 0.8496, Test Loss: 0.2799, Test Acc: 0.9061
Epoch [79/100], Train Loss: 0.4321, Train Acc: 0.8509, Test Loss: 0.3408, Test Acc: 0.8933
